Категория;Оригинал;Перевод;Проверка;Комментарий
Сценарист;A. J. Lieberman (Andrew J. Lieberman, Andy Lieberman);Э. Дж. Либерман (Эндрю Дж. Либерман, Энди Либерман);;
Художник;Aaron Campbell;Аарон Кэмпбелл;;
Сценарист, Художник;Aaron Kuder;Аарон Кудер;https://youtu.be/O1KFbQYe0yo?si=noxnI5WVlpqVS2sK&t=5;
Сценарист, Художник;Aaron Lopresti;Аарон Лопрести;https://youtube.com/shorts/ZsZ7gPjbAHc?si=cKCd2RJMrQkR516g;
Художник;ACO (Alejandro Cal Oliveira);AКO (Алехандро Кэл Оливейра);;
Художник;Adam Archer;Адам Арчер;;
Сценарист;Adam Beechen;Адам Бичен;;
Художник;Adam Hughes (Adam T. Hughes);Адам Хьюз (Адам Т. Хьюз);;
Сценарист, Редактор;Adam Schlagman;Адам Шлагман;;
Контуровщик;Adelso Corona;Аделсо Корона;https://youtu.be/KlTW4OClnis?si=VkxYH0vDW0rAMii5&t=5;
Леттерер;Aditya Bidikar;Адитья Бидикар;https://www.youtube.com/live/rfGZqdr7iDI?si=NOaOWC0kiTfXNpNv&t=10;
Художник;Adriana Melo;Адриана Мело;https://youtu.be/QcMFPOmwAEw?si=NG2LDcMxF30cTnKi&t=8;
Художник;Adriano Lucas;Адриано Лукас;;
Колорист;Adrienne Roy;Эдриэнн Рой;;
Сценарист, Редактор;Mort Weisinger (Mortimer Weisinger);Морт Вайсингер (Мортимер Вайсингер);;
Художник;Paul Norris (Paul Leroy Norris);Пол Норрис (Пол Лерой Норрис);;
Сценарист;Alan Moore (Curt Vile, Jill DeRay);Алан Мур (Курт Вайл, Жиль де Рэ);;
Сценарист;Bill Finger (Milton Finger);Билл Фингер (Милтон Фингер);;
Сценарист, Художник;Bob Kane (Robert Kahn, Ted Raye);Боб Кейн (Роберт Кан, Тед Рэй);;
Сценарист, Художник;Bruce Timm (Bruce Walter Timm);Брюс Тимм (Брюс Уолтер Тимм);;
Сценарист, Художник, Редактор;George Perez;Джордж Перес;;
Художник;Jack Burnley (Hardin Burnley);Джек Бёрнли (Хардин Бёрнли);;
Сценарист;Jamie Delano;Джэми Делано;https://youtu.be/8NfSOCd1J4g?si=XSc_69MhZ23sAKAQ&t=43;
Сценарист;Jerry Siegel (Jerome Siegel, Joe Carter, Herbert S. Fine, Jerry Ess);Джерри Сигел (Джером Сигел, Джо Картер, Герберт С. Файн, Джерри Эсс);;
Сценарист, Редактор;Pornsak Pichetshote;Порнсак Пичетшот;https://youtu.be/4YaWfD6_XHs?si=_A4JH1KWf531Ejhu&t=3;
Художник;John Ridgway;Джон Риджвей;;
Художник, Контуровщик;John Totleben (John Thomas Totleben);Джон Тотлбен (Джон Томас Тотлбен);https://youtu.be/tFbmwLv9pBE?si=4RLQx1_arPBENkRg&t=14;
Редактор;Marie Javins;Мари Джейвинс;https://youtu.be/m69X_LTH6ZE?si=lpANYPtCLRiukhkJ&t=231;
Сценарист, Редактор;Marv Wolfman (Marvin Arthur Wolfman);Марв Вольфман (Марвин Артур Вольфман);;
Художник, Контуровщик;Mike Dringenberg (Michael Dringenberg);Майк Дрингенберг (Майкл Дрингенберг);;
Художник, Колорист;Miquel Muerto (Miquel Rodriguez);Микель Муэрто (Микель Родригес);;Muerto с испанского означает «мертвец», так что, скорее всего, это псевдоним. [Прим. D.Crane]
Сценарист, Редактор;Neil Gaiman (Neil Richard MacKinnon Gaiman);Нил Гейман (Нил Ричард Маккиннон Гейман);;
Леттерер;Nick J. Napolitano;Ник Дж. Наполитано;;
Сценарист;Paul Dini;Пол Дини;;
Сценарист, Художник;Sam Kieth;Сэм Кит;;
Сценарист, Художник;Steve Bissette (Stephen R. Bissette);Стив Биссетт (Стивен Р. Биссетт);;
Сценарист;Christopher Golden;Кристофер Голден;;
Художник;Dick Sprang (Richard W. Sprang);Дик Спранг (Ричард У. Спранг);;
Сценарист, Художник, Редактор;Will Eisner (William Erwin Eisner);Уилл Айснер (Уильям Эрвин Айснер);;
Сценарист;William Moulton Marston (Charles Moulton);Уильям Молтон Марстон (Чарльз Молтон);;
Художник;Xanthe Bouma;Зенти Боума;https://youtu.be/STMmcq_zihQ?si=UP2cL8n2ZrgJ5LVe&t=16;
Художник;Ben Stenbeck;Бен Стенбек;;
